chapterid;course;year;part;title;
1;materiaalk;2002;0; De geschiedenis van de fiets;
2;materiaalk;2002;0; Wielen en spaken: corrosieweerstand;
3;materiaalk;2002;0; Mechanisch gedrag van spaken;
4;materiaalk;2002;0; Microstructuur en kristalstructuur van roestvaste spaken;
5;materiaalk;2002;0; Dislocaties en vervormingsversteviging van roestvaste spaken;
6;materiaalk;2002;0; Uitgloeien van koudvervormde spaken;
7;materiaalk;2002;0; Koolstofstaalspaken: plastische vervorming en vermoeiingsweerstand;
8;materiaalk;2002;0; Legeringen voor solderen en brazeren: fasediagramma's;
9;materiaalk;2002;0; Fasediagramma's voor spaken in koolstofstaal;
10;materiaalk;2002;0; De ketting en de lagers: wrijvingsweerstand en sleet; het harden van staal, keramische lagers;
11;materiaalk;2002;0; Wielvelgen: precipitatiegeharde aluminiumlegeringen;
12;materiaalk;2002;0; De fietskader;
13;materiaalk;2002;0; Polymeren: banden;
14;materiaalk;2002;0; Composietmaterialen: banden, kaders, wielen;
15;materiaalk;2002;0; De Walkman: magnetische opname en weergave;
16;materiaalk;2002;0; Elektronische materialen in de Walkman;
1;materiaalk;2003;0; De geschiedenis van de fiets;
2;materiaalk;2003;0; Wielen en spaken: corrosieweerstand;
3;materiaalk;2003;0; Mechanisch gedrag van spaken;
4;materiaalk;2003;0; Microstructuur en kristalstructuur van roestvaste spaken;
5;materiaalk;2003;0; Dislocaties en vervormingsversteviging van roestvaste spaken;
6;materiaalk;2003;0; Uitgloeien van koudvervormde spaken;
7;materiaalk;2003;0; Koolstofstaalspaken: plastische vervorming en vermoeiingsweerstand;
8;materiaalk;2003;0; Legeringen voor solderen en brazeren: fasediagramma's;
9;materiaalk;2003;0; Fasediagramma's voor spaken in koolstofstaal;
10;materiaalk;2003;0; De ketting en de lagers: wrijvingsweerstand en sleet; het harden van staal, keramische lagers;
11;materiaalk;2003;0; Wielvelgen: precipitatiegeharde aluminiumlegeringen;
12;materiaalk;2003;0; Het fietskader;
13;materiaalk;2003;0; Polymeren: banden;
14;materiaalk;2003;0; Composietmaterialen: banden, kaders, wielen;
15;materiaalk;2003;0; De Walkman: magnetische opname en weergave;
16;materiaalk;2003;0; Elektronische materialen in de Walkman;
1;mech;2001;0; Vectorrekenen;
2;mech;2001;0; Kinematica;
3;mech;2001;0;  Wet van Newton;
4;mech;2001;0;  Behoud van Impuls;
5;mech;2001;0; Behoud van Energie;
6;mech;2001;0; Beweging van Voorwerpen;
7;mech;2001;0; Statica;
8;mech;2001;0; Virtuele arbeid;
9;mech;2001;0;   Varia;
1;mech;2002;0; Vectorrekenen;
2;mech;2002;0; Kinematica;
3;mech;2002;0;  Wet van Newton;
4;mech;2002;0;  Behoud van Impuls;
5;mech;2002;0; Behoud van Energie;
6;mech;2002;0; Beweging van Voorwerpen;
7;mech;2002;0; Statica;
8;mech;2002;0; Virtuele arbeid;
9;mech;2002;0;   Varia;
1;mech;2003;0; Vectorrekenen;
2;mech;2003;0; Kinematica;
3;mech;2003;0;  Wet van Newton;
4;mech;2003;0;  Behoud van Impuls;
5;mech;2003;0; Behoud van Energie;
6;mech;2003;0; Beweging van Voorwerpen;
7;mech;2003;0; Statica;
8;mech;2003;0; Virtuele arbeid;
9;mech;2003;0;   Varia;
1;nat;1998;0; Inleiding - Elasticiteit (hfdst. A1-A3);
2;nat;1998;0; Trillingen - Gravitatie (hfdst. A4-A5);
3;nat;1998;0; Flu&iuml;ada (hfdst. A6-A7);
4;nat;1998;0; Warmteleer - Gassen (hfdst. A8-A9);
5;nat;1998;0;  Scalaire en Vectorvelden (hfdst. B1);
6;nat;1998;0; Elektrisch Veld en Potientaal (hfdst. B2-B4);
7;nat;1998;0; Condensatoren en Di&euml;lectrica (hfdst. B5-B6);
8;nat;1998;0; Elektrodynamica (hfdt. B7-B9);
9;nat;1998;0; Magnetostatica (hfdst. B10-B11);
10;nat;1998;0; Inductie en Magnetische Materialen (hfdst. B12-B14);
11;nat;1998;0; Algemeen;
1;nat;1999;0; Inleiding - Elasticiteit (hfdst. A1-A3);
2;nat;1999;0; Trillingen - Gravitatie (hfdst. A4-A5);
3;nat;1999;0; Flu&iuml;da (hfdst. A6-A7);
4;nat;1999;0; Warmteleer - Gassen (hfdst. A8-A9);
5;nat;1999;0;  Scalaire en Vectorvelden (hfdst. B1);
6;nat;1999;0; Elektrisch Veld en Potientaal (hfdst. B2-B4);
7;nat;1999;0; Condensatoren en Di&euml;lectrica (hfdst. B5-B6);
8;nat;1999;0; Elektrodynamica (hfdt. B7-B9);
9;nat;1999;0; Magnetostatica (hfdst. B10-B11);
10;nat;1999;0; Inductie en Magnetische Materialen (hfdst. B12-B14);
11;nat;1999;0; Algemeen;
1;nat;2000;0; Inleiding - Elasticiteit (hfdst. A1-A3);
2;nat;2000;0; Trillingen - Gravitatie (hfdst. A4-A5);
3;nat;2000;0; Flu&iuml;da (hfdst. A6-A7);
4;nat;2000;0; Warmteleer - Gassen (hfdst. A8-A9);
5;nat;2000;0;  Scalaire en Vectorvelden (hfdst. B1);
6;nat;2000;0; Elektrisch Veld en Potientaal (hfdst. B2-B4);
7;nat;2000;0; Condensatoren en Di&euml;lectrica (hfdst. B5-B6);
8;nat;2000;0; Elektrodynamica (hfdt. B7-B9);
9;nat;2000;0; Magnetostatica (hfdst. B10-B11);
10;nat;2000;0; Inductie en Magnetische Materialen (hfdst. B12-B14);
11;nat;2000;0; Algemeen;
1;nat;2001;0; Inleiding - Elasticiteit (hfdst. A1-A3);
2;nat;2001;0; Trillingen - Gravitatie (hfdst. A4-A5);
3;nat;2001;0; Flu&iuml;da (hfdst. A6-A7);
4;nat;2001;0; Warmteleer - Gassen (hfdst. A8-A9);
5;nat;2001;0;  Scalaire en Vectorvelden (hfdst. B1);
6;nat;2001;0; Elektrisch Veld en Potientaal (hfdst. B2-B4);
7;nat;2001;0; Condensatoren en Di&euml;lectrica (hfdst. B5-B6);
8;nat;2001;0; Elektrodynamica (hfdt. B7-B9);
9;nat;2001;0; Magnetostatica (hfdst. B10-B11);
10;nat;2001;0; Inductie en Magnetische Materialen (hfdst. B12-B14);
11;nat;2001;0; Algemeen;
1;nat;2002;0; Inleiding - Elasticiteit (hfdst. A1-A3);
2;nat;2002;0; Trillingen - Gravitatie (hfdst. A4-A5);
3;nat;2002;0; Flu&iuml;da (hfdst. A6-A7);
4;nat;2002;0; Warmteleer - Gassen (hfdst. A8-A9);
5;nat;2002;0;  Scalaire en Vectorvelden (hfdst. B1);
6;nat;2002;0; Elektrisch Veld en Potientaal (hfdst. B2-B4);
7;nat;2002;0; Condensatoren en Di&euml;lectrica (hfdst. B5-B6);
8;nat;2002;0; Elektrodynamica (hfdt. B7-B9);
9;nat;2002;0; Magnetostatica (hfdst. B10-B11);
10;nat;2002;0; Inductie en Magnetische Materialen (hfdst. B12-B14);
11;nat;2002;0; Algemeen;
10;nat;2003;0;Elektromagnetische golven;
9;nat;2003;0;De wetten van Maxwell;
1;nat;2003;0;Elektrostatica;
2;nat;2003;0;DiÃƒÂ«lektrica;
3;nat;2003;0;Elektrostatische veldberekeningen;
4;nat;2003;0;Elektrische stroom e, magnetische velden;
5;nat;2003;0;Magnetische materialen;
6;nat;2003;0;Elektromagnetische inductie en magnetische energie;
7;nat;2003;0;Wisselstromen en tijdsafhankelijke stromen;
8;nat;2003;0;Elektrische en magnetische netwerken;
1;numwis-bur;1999;1; Deel I : Directe Methodes;
2;numwis-bur;1999;0; Hoofdstuk I : Inleiding;
3;numwis-bur;1999;0; Hoofdstuk II : Foutenanalyse;
4;numwis-bur;1999;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-bur;1999;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-bur;1999;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-bur;1999;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-bur;1999;0; Hoofdstuk VII : Differentiaalvergelijkingen;
9;numwis-bur;1999;1; Deel II : Iteratieve Methodes;
10;numwis-bur;1999;0; Hoofdstuk I : Inleiding;
11;numwis-bur;1999;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
12;numwis-bur;1999;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
13;numwis-bur;1999;0; Hoofdstuk IV : Het iteratief oplossen van stelsels lineaire vergelijkingen;
14;numwis-bur;1999;0; Hoofdstuk V : Veeltermvergelijkingen;
15;numwis-bur;1999;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
16;numwis-bur;1999;0; Hoofdstuk VII : Optimisatie van een functie in &eacute;&eacute;n veranderlijke
17;numwis-bur;1999;0; Hoofdstuk VIII : Optimisatie in meerdere veranderlijken;
18;numwis-bur;1999;0; Vragen over de oefeningen;
1;numwis-bur;2000;1; Deel I : Directe Methodes;
2;numwis-bur;2000;0; Hoofdstuk I : Inleiding;
3;numwis-bur;2000;0; Hoofdstuk II : Foutenanalyse;
4;numwis-bur;2000;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-bur;2000;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-bur;2000;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-bur;2000;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-bur;2000;0; Hoofdstuk VII : Differentiaalvergelijkingen;
9;numwis-bur;2000;1; Deel II : Iteratieve Methodes;
10;numwis-bur;2000;0; Hoofdstuk I : Inleiding;
11;numwis-bur;2000;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
12;numwis-bur;2000;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
13;numwis-bur;2000;0; Hoofdstuk IV : Het iteratief oplossen van stelsels lineaire vergelijkingen;
14;numwis-bur;2000;0; Hoofdstuk V : Veeltermvergelijkingen;
15;numwis-bur;2000;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
16;numwis-bur;2000;0; Hoofdstuk VII : Optimisatie van een functie in &eacute;&eacute;n veranderlijke
17;numwis-bur;2000;0; Hoofdstuk VIII : Optimisatie in meerdere veranderlijken;
18;numwis-bur;2000;0; Vragen over de oefeningen;
1;numwis-bur;2001;1; Deel I : Directe Methodes;
2;numwis-bur;2001;0; Hoofdstuk I : Inleiding;
3;numwis-bur;2001;0; Hoofdstuk II : Foutenanalyse;
4;numwis-bur;2001;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-bur;2001;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-bur;2001;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-bur;2001;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-bur;2001;0; Hoofdstuk VII : Differentiaalvergelijkingen;
9;numwis-bur;2001;1; Deel II : Iteratieve Methodes;
10;numwis-bur;2001;0; Hoofdstuk I : Inleiding;
11;numwis-bur;2001;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
12;numwis-bur;2001;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
13;numwis-bur;2001;0; Hoofdstuk IV : Het iteratief oplossen van stelsels lineaire vergelijkingen;
14;numwis-bur;2001;0; Hoofdstuk V : Veeltermvergelijkingen;
15;numwis-bur;2001;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
16;numwis-bur;2001;0; Hoofdstuk VII : Optimisatie van een functie in &eacute;&eacute;n veranderlijke
17;numwis-bur;2001;0; Hoofdstuk VIII : Optimisatie in meerdere veranderlijken;
18;numwis-bur;2001;0; Vragen over de oefeningen;
1;numwis-bur;2002;1; Deel I : Directe Methodes;
2;numwis-bur;2002;0; Hoofdstuk I : Inleiding;
3;numwis-bur;2002;0; Hoofdstuk II : Foutenanalyse;
4;numwis-bur;2002;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-bur;2002;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-bur;2002;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-bur;2002;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-bur;2002;0; Hoofdstuk VII : Differentiaalvergelijkingen;
9;numwis-bur;2002;1; Deel II : Iteratieve Methodes;
10;numwis-bur;2002;0; Hoofdstuk I : Inleiding;
11;numwis-bur;2002;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
12;numwis-bur;2002;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
13;numwis-bur;2002;0; Hoofdstuk IV : Het iteratief oplossen van stelsels lineaire vergelijkingen;
14;numwis-bur;2002;0; Hoofdstuk V : Veeltermvergelijkingen;
15;numwis-bur;2002;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
16;numwis-bur;2002;0; Hoofdstuk VII : Optimisatie van een functie in &eacute;&eacute;n veranderlijke
17;numwis-bur;2002;0; Hoofdstuk VIII : Optimisatie in meerdere veranderlijken;
18;numwis-bur;2002;0; Vragen over de oefeningen;
1;numwis-bur;2003;1; Deel I : Directe Methodes;
2;numwis-bur;2003;0; Hoofdstuk I : Inleiding;
3;numwis-bur;2003;0; Hoofdstuk II : Foutenanalyse;
4;numwis-bur;2003;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-bur;2003;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-bur;2003;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-bur;2003;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-bur;2003;0; Hoofdstuk VII : Differentiaalvergelijkingen;
9;numwis-bur;2003;1; Deel II : Iteratieve Methodes;
10;numwis-bur;2003;0; Hoofdstuk I : Inleiding;
11;numwis-bur;2003;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
12;numwis-bur;2003;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
13;numwis-bur;2003;0; Hoofdstuk IV : Het iteratief oplossen van stelsels lineaire vergelijkingen;
14;numwis-bur;2003;0; Hoofdstuk V : Veeltermvergelijkingen;
15;numwis-bur;2003;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
16;numwis-bur;2003;0; Hoofdstuk VII : Optimisatie van een functie in &eacute;&eacute;n veranderlijke
17;numwis-bur;2003;0; Hoofdstuk VIII : Optimisatie in meerdere veranderlijken;
18;numwis-bur;2003;0; Vragen over de oefeningen;
1;numwis-ind;1999;1; Deel I : Directe Methodes;
2;numwis-ind;1999;0; Hoofdstuk I : Inleiding;
3;numwis-ind;1999;0; Hoofdstuk II : Foutenanalyse;
4;numwis-ind;1999;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-ind;1999;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-ind;1999;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-ind;1999;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-ind;1999;0; Hoofdstuk VII : Differentiaalvergelijkingen;
9;numwis-ind;1999;1; Deel II : Iteratieve Methodes;
10;numwis-ind;1999;0; Hoofdstuk I : Inleiding;
11;numwis-ind;1999;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
12;numwis-ind;1999;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
13;numwis-ind;1999;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
14;numwis-ind;1999;0; Hoofdstuk V : Veeltermvergelijkingen;
15;numwis-ind;1999;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
16;numwis-ind;1999;0; Hoofdstuk VII : Optimisatie van een functie in &eacute;&eacute;n veranderlijke
17;numwis-ind;1999;0; Hoofdstuk VIII : Optimisatie in meerdere veranderlijken;
18;numwis-ind;1999;1; Oefeningen;
19;numwis-ind;1999;0; Vragen over de oefeningen;
1;numwis-ind;2000;1; Deel I : Directe Methodes;
2;numwis-ind;2000;0; Hoofdstuk I : Inleiding;
3;numwis-ind;2000;0; Hoofdstuk II : Foutenanalyse;
4;numwis-ind;2000;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-ind;2000;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-ind;2000;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-ind;2000;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-ind;2000;1; Deel II : Iteratieve Methodes;
9;numwis-ind;2000;0; Hoofdstuk I : Inleiding;
10;numwis-ind;2000;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-ind;2000;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-ind;2000;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-ind;2000;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-ind;2000;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-ind;2000;1; Oefeningen;
16;numwis-ind;2000;0; Vragen over de oefeningen;
1;numwis-ind;2001;1; Deel I : Directe Methodes;
2;numwis-ind;2001;0; Hoofdstuk I : Inleiding;
3;numwis-ind;2001;0; Hoofdstuk II : Foutenanalyse;
4;numwis-ind;2001;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-ind;2001;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-ind;2001;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-ind;2001;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-ind;2001;1; Deel II : Iteratieve Methodes;
9;numwis-ind;2001;0; Hoofdstuk I : Inleiding;
10;numwis-ind;2001;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-ind;2001;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-ind;2001;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-ind;2001;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-ind;2001;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-ind;2001;1; Oefeningen;
16;numwis-ind;2001;0; Vragen over de oefeningen;
1;numwis-ind;2002;1; Deel I : Directe Methodes;
2;numwis-ind;2002;0; Hoofdstuk I : Inleiding;
3;numwis-ind;2002;0; Hoofdstuk II : Foutenanalyse;
4;numwis-ind;2002;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-ind;2002;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-ind;2002;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-ind;2002;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-ind;2002;1; Deel II : Iteratieve Methodes;
9;numwis-ind;2002;0; Hoofdstuk I : Inleiding;
10;numwis-ind;2002;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-ind;2002;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-ind;2002;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-ind;2002;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-ind;2002;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-ind;2002;1; Oefeningen;
16;numwis-ind;2002;0; Vragen over de oefeningen;
1;numwis-ind;2003;1; Deel I : Directe Methodes;
2;numwis-ind;2003;0; Hoofdstuk I : Inleiding;
3;numwis-ind;2003;0; Hoofdstuk II : Foutenanalyse;
4;numwis-ind;2003;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-ind;2003;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-ind;2003;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-ind;2003;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-ind;2003;1; Deel II : Iteratieve Methodes;
9;numwis-ind;2003;0; Hoofdstuk I : Inleiding;
10;numwis-ind;2003;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-ind;2003;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-ind;2003;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-ind;2003;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-ind;2003;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-ind;2003;1; Oefeningen;
16;numwis-ind;2003;0; Vragen over de oefeningen;
1;numwis-wet;1999;1; Deel I : Directe Methodes;
2;numwis-wet;1999;0; Hoofdstuk I : Inleiding;
3;numwis-wet;1999;0; Hoofdstuk II : Foutenanalyse;
4;numwis-wet;1999;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-wet;1999;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-wet;1999;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-wet;1999;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-wet;1999;0; Hoofdstuk VII : Differentiaalvergelijkingen;
9;numwis-wet;1999;1; Deel II : Iteratieve Methodes;
10;numwis-wet;1999;0; Hoofdstuk I : Inleiding;
11;numwis-wet;1999;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
12;numwis-wet;1999;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
13;numwis-wet;1999;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
14;numwis-wet;1999;0; Hoofdstuk V : Veeltermvergelijkingen;
15;numwis-wet;1999;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
16;numwis-wet;1999;0; Hoofdstuk VII : Optimisatie van een functie in &eacute;&eacute;n veranderlijke
17;numwis-wet;1999;0; Hoofdstuk VIII : Optimisatie in meerdere veranderlijken;
18;numwis-wet;1999;1; Oefeningen;
19;numwis-wet;1999;0; Vragen over de oefeningen;
1;numwis-wet;2000;1; Deel I : Directe Methodes;
2;numwis-wet;2000;0; Hoofdstuk I : Inleiding;
3;numwis-wet;2000;0; Hoofdstuk II : Foutenanalyse;
4;numwis-wet;2000;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-wet;2000;0; Hoofdstuk IV : Veelterminterpolatie;
6;numwis-wet;2000;0; Hoofdstuk V : Numerieke differentiatie;
7;numwis-wet;2000;0; Hoofdstuk VI : Numerieke integratie;
8;numwis-wet;2000;1; Deel II : Iteratieve Methodes;
9;numwis-wet;2000;0; Hoofdstuk I : Inleiding;
10;numwis-wet;2000;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-wet;2000;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-wet;2000;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-wet;2000;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-wet;2000;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-wet;2000;1; Oefeningen;
16;numwis-wet;2000;0; Vragen over de oefeningen;
1;numwis-wet;2001;1; Deel I : Directe Methodes;
2;numwis-wet;2001;0; Hoofdstuk I : Inleiding;
3;numwis-wet;2001;0; Hoofdstuk II : Foutenanalyse;
4;numwis-wet;2001;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-wet;2001;0; Hoofdstuk IVa : Veelterminterpolatie;
6;numwis-wet;2001;0; Hoofdstuk IVb : Interpolatie met behulp van splines;
7;numwis-wet;2001;0; Hoofdstuk VI : Numerieke Differentiatie;
8;numwis-wet;2001;1; Deel II : Iteratieve Methodes;
9;numwis-wet;2001;0; Hoofdstuk I : Inleiding;
10;numwis-wet;2001;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-wet;2001;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-wet;2001;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-wet;2001;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-wet;2001;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-wet;2001;1; Oefeningen;
16;numwis-wet;2001;0; Vragen over de oefeningen;
1;numwis-wet;2002;1; Deel I : Directe Methodes;
2;numwis-wet;2002;0; Hoofdstuk I : Inleiding;
3;numwis-wet;2002;0; Hoofdstuk II : Foutenanalyse;
4;numwis-wet;2002;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-wet;2002;0; Hoofdstuk IVa : Veelterminterpolatie;
6;numwis-wet;2002;0; Hoofdstuk IVb : Interpolatie met behulp van splines;
7;numwis-wet;2002;0; Hoofdstuk VI : Numerieke Differentiatie;
8;numwis-wet;2002;1; Deel II : Iteratieve Methodes;
9;numwis-wet;2002;0; Hoofdstuk I : Inleiding;
10;numwis-wet;2002;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-wet;2002;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-wet;2002;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-wet;2002;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-wet;2002;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-wet;2002;1; Oefeningen;
16;numwis-wet;2002;0; Vragen over de oefeningen;
1;numwis-wet;2003;1; Deel I : Directe Methodes;
2;numwis-wet;2003;0; Hoofdstuk I : Inleiding;
3;numwis-wet;2003;0; Hoofdstuk II : Foutenanalyse;
4;numwis-wet;2003;0; Hoofdstuk III : Stelsels lineaire vergelijkingen;
5;numwis-wet;2003;0; Hoofdstuk IVa : Veelterminterpolatie;
6;numwis-wet;2003;0; Hoofdstuk IVb : Interpolatie met behulp van splines;
7;numwis-wet;2003;0; Hoofdstuk VI : Numerieke Differentiatie;
8;numwis-wet;2003;1; Deel II : Iteratieve Methodes;
9;numwis-wet;2003;0; Hoofdstuk I : Inleiding;
10;numwis-wet;2003;0; Hoofdstuk II : Het oplossen van niet-lineaire vergelijkingen;
11;numwis-wet;2003;0; Hoofdstuk III : Stelsels niet-lineaire vergelijkingen;
12;numwis-wet;2003;0; Hoofdstuk IV : Het iteratief oplossen van stelsels niet-lineaire vergelijkingen;
13;numwis-wet;2003;0; Hoofdstuk V : Veeltermvergelijkingen;
14;numwis-wet;2003;0; Hoofdstuk VI : Het berekenen van eigenwaarden;
15;numwis-wet;2003;1; Oefeningen;
16;numwis-wet;2003;0; Vragen over de oefeningen;
1;analyse2;1999;0; Hoofdstuk 1 : Lineaire differentiaalvergelijkingen;
2;analyse2;1999;0; Hoofdstuk 2 : De Laplacetransformatie;
3;analyse2;1999;0; Hoofdstuk 3 : Stelsels lineaire eerste orde differentiaalvergelijkingen;
4;analyse2;1999;0; Hoofdstuk 4 : Oplossing door reeksontwikkeling;
5;analyse2;1999;0; Hoofdstuk 5 : Niet-lineaire differentiaalvergelijkingen van eerste orde;
6;analyse2;1999;0; Hoofdstuk 6 : Beginselen van de variatierekening;
7;analyse2;1999;0; Hoofdstuk 7 : Fourier- en Fourier-Besselreeksen;
8;analyse2;1999;0; Hoofdstuk 8 : De Fouriertransformatie;
9;analyse2;1999;0; Hoofdstuk 9 : Sturm-Liouville problemen;
10;analyse2;1999;0; Hoofdstuk 10 : Tweede orde parti&euml;le differentiaalvergelijkingen;
11;analyse2;1999;0; Hoofdstuk 11 : Stabiliteit en bifurcatie bij autonome stelsels;
12;analyse2;1999;0; Hoofdstukken 12-17 : Complexe functieleer;
13;analyse2;1999;0; Oefeningen;
14;analyse2;1999;0; Maple;
15;analyse2;1999;0; Allerlei;
1;analyse2;2000;0; Hoofdstuk 1 : Lineaire differentiaalvergelijkingen;
2;analyse2;2000;0; Hoofdstuk 2 : De Laplacetransformatie;
